rank,pmid,title,year,score,genes,drugs,summary
1,34985916,Targeted Therapies for Lung Cancer Patients With Oncogenic Driver Molecular Alterations.,2022,17,EGFR; ALK; ROS1; BRAF; KRAS; MET; NTRK; RET,,"Lung cancer classification now incorporates molecular subsets with targeted therapies for specific driver mutations like EGFR, ALK, and others. The treatment landscape is expanding with approvals for BRAF V600E, EGFR exon 20, KRAS G12C, MET exon 14, and NTRK/RET alterations."
2,40171848,Targeting ROS1 rearrangements in non-small cell lung cancer: Current insights and future directions.,2025,15,ROS1,crizotinib; entrectinib; lorlatinib; taletrectinib; repotrectinib,"ROS1 rearrangements in non-small cell lung cancer (NSCLC) are targeted by tyrosine kinase inhibitors (TKIs). First-generation TKIs like crizotinib and entrectinib show high response rates but face resistance and CNS penetration limitations. Next-generation agents (lorlatinib, taletrectinib, repotrectinib) overcome these challenges with improved CNS activity and resistance mutation efficacy."
3,38892105,Targeted Therapies for EGFR Exon 20 Insertion Mutation in Non-Small-Cell Lung Cancer.,2024,15,EGFR; MET,Amivantamab; Mobocertinib; Poziotinib; Zipalertinib; Sunvozertinib,"This review discusses targeted therapies for EGFR exon 20 insertion mutations in NSCLC, highlighting agents like Amivantamab and Mobocertinib, which show varying efficacy but face challenges with resistance."
4,31125062,Immune checkpoint inhibitors for patients with advanced lung cancer and oncogenic driver alterations: results from the IMMUNOTARGET registry.,2019,14,KRAS; EGFR; BRAF; MET; HER2; ALK; RET,,"This study evaluates the efficacy of immune checkpoint inhibitors (ICI) in advanced non-small-cell lung cancer patients with oncogenic driver alterations, analyzing progression-free survival, overall survival, and response rates across 551 patients with mutations in KRAS, EGFR, BRAF, MET, HER2, ALK, and RET."
5,29462254,Mechanisms of acquired resistance to first- and second-generation EGFR tyrosine kinase inhibitors.,2018,12,EGFR; MET; ERBB2,erlotinib; gefitinib; afatinib,"The study discusses mechanisms of acquired resistance to EGFR tyrosine kinase inhibitors in non-small-cell lung cancer, identifying the T790M mutation as a primary cause and highlighting MET/ERBB2 amplification as secondary resistance mechanisms."
6,40572608,HER2 in Non-Small Cell Lung Cancer (NSCLC): Evolution of the Therapeutic Landscape and Emerging Drugs-A Long Way to the Top.,2025,11,HER2,trastuzumab deruxtecan; BAY2927088; zongertinib,"HER2 alterations in NSCLC include overexpression, amplification, and mutations. Trastuzumab deruxtecan is the only approved targeted therapy, while new HER2-specific TKIs like BAY2927088 and zongertinib show promise."
7,39694700,LKB1 dictates sensitivity to immunotherapy through Skp2-mediated ubiquitination of PD-L1 protein in non-small cell lung cancer.,2024,9,LKB1; STK11; PD-L1; SKP2,,"LKB1 mutations confer resistance to PD-1/PD-L1 immunotherapy in non-small cell lung cancer by promoting Skp2-mediated ubiquitination of PD-L1, reducing its expression and impairing immune response."
8,20573926,Gefitinib or chemotherapy for non-small-cell lung cancer with mutated EGFR.,2010,8,EGFR,Gefitinib; Carboplatin; Paclitaxel,Gefitinib significantly improved progression-free survival compared to carboplatin-paclitaxel chemotherapy in non-small-cell lung cancer patients with EGFR mutations.
9,40171885,Targeting HER2 in lung cancers: Evolving treatment landscape and drug development strategies.,2025,7,ERBB2,trastuzumab deruxtecan,"HER2 (ERBB2) alterations are emerging targets in NSCLC, with trastuzumab deruxtecan (T-DXd) becoming the first FDA-approved therapy for pretreated HER2-mutant NSCLC and receiving pan-tumor approval for HER2-positive solid tumors."
10,39255777,Circulating tumor DNA-based stratification strategy for chemotherapy plus PD-1 inhibitor in advanced non-small-cell lung cancer.,2024,1,,,"The study proposes a ctDNA-based stratification strategy for chemotherapy plus PD-1 inhibitor in advanced NSCLC, identifying predictive markers like ctDNA status, tumor mutational burden, and genomic features to determine patient benefit and monitor treatment dynamically."
