rank,pmid,title,year,score,genes,drugs,summary
1,40955382,Multi-Criteria Decision Analysis of Biologics in Chronic Obstructive Pulmonary Disease.,2025,9,,Dupilumab; Mepolizumab; Benralizumab,"A multicriteria decision analysis evaluated 12 biologics in COPD, identifying Dupilumab as most effective in eosinophilic COPD with robust exacerbation reduction and FEV1 improvement."
2,40392521,Chronic Obstructive Pulmonary Disease (COPD): Developments in Pharmacological Treatments.,2025,7,,dupilumab; ensifentrine,"Recent advancements in COPD pharmacological treatments include using blood eosinophil counts (BEC) as a biomarker for precision medicine, along with novel therapies like inhaled phosphodiesterase inhibitor ensifentrine and monoclonal antibody dupilumab targeting type 2 inflammation."
3,41024111,"Toward precision medicine in COPD: phenotypes, endotypes, biomarkers, and treatable traits.",2025,5,A1AT,,"This review discusses precision medicine in COPD, emphasizing phenotypes, endotypes (like neutrophilic inflammation and α1 antitrypsin deficiency), and biomarkers (e.g., blood eosinophils, CRP) to improve therapeutic targeting. It highlights the shift from phenotypic to endotype-based classifications for better treatment outcomes."
4,40900345,Emerging Therapeutics in COPD: Mapping Innovation to Treatable Traits.,2025,3,,,"The paper discusses the application of Treatable Traits (TTs) in COPD management, mapping emerging anti-inflammatory agents and bronchodilators to specific pathobiological traits like inflammation subtypes and corticosteroid resistance, emphasizing biomarker-driven precision approaches."
5,39443246,"Chronic obstructive pulmonary disease's eosinophilic phenotype: Clinical characteristics, biomarkers and biotherapy.",2025,3,,,"The eosinophilic phenotype in COPD is a heterogeneous inflammatory disorder where identifying this subtype is critical for targeted therapies like corticosteroids and biologics, though consensus on biomarker thresholds remains unresolved."
6,28893134,Mepolizumab for Eosinophilic Chronic Obstructive Pulmonary Disease.,2017,2,,Mepolizumab,"Mepolizumab, an anti-IL-5 monoclonal antibody, was evaluated in phase 3 trials for eosinophilic COPD patients, showing potential benefits in reducing exacerbations."
7,39346628,Screening COPD-Related Biomarkers and Traditional Chinese Medicine Prediction Based on Bioinformatics and Machine Learning.,2024,1,,,"This study uses bioinformatics and machine learning to analyze COPD-related immune cell and gene characteristics, focusing on inflammatory responses and ferroptosis. It employs Mendelian randomization and WGCNA to identify biomarkers and explore traditional Chinese medicine applications for COPD treatment."
8,22314182,Chronic obstructive pulmonary disease.,2012,0,,,"Chronic obstructive pulmonary disease (COPD) is characterized by progressive airflow obstruction, inflammation, and comorbidities like ischaemic heart disease and diabetes. Bronchodilators, including β(2) agonists and anticholinergics, are primary treatments, with exacerbations often linked to infections."
9,31073084,Airway inflammation in COPD: progress to precision medicine.,2019,0,,,"COPD exhibits heterogeneous airway inflammation with distinct phenotypes (neutrophil-associated T1/T17, eosinophil-associated T2, and autoimmunity). Biomarkers enable targeted anti-inflammatory strategies, showing corticosteroid efficacy in eosinophilic inflammation but limited benefits from anti-IL-5 therapies despite similar inflammation levels."
10,22445544,New bronchodilators.,2012,0,,,"The review discusses emerging bronchodilators for COPD, focusing on enhancing existing targets and discovering novel pharmacologic approaches like EP4 receptor agonists, bitter taste receptors, and selective PDE inhibitors, while emphasizing their role in combination therapies."
